Creation Time:	2023-01-03 12:45:43

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	70750154

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3515.421080027584 +- 4.547473508864641e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
241	24	8	9e-05	0.00026	2.845e+02	0.515	0.316	GO:0050869
242	20	6	9e-05	0.0002	2.096e+02	0.479	0.424	GO:0055013
243	28	9	8e-05	0.0002	3.911e+02	0.544	0.403	GO:0007595
244	74	30	8e-05	0.00021	2.355e+03	0.544	0.484	GO:0019886
245	59	22	8e-05	0.00017	1.575e+03	0.554	0.422	GO:0042102
246	25	9	8e-05	0.00025	2.964e+02	0.516	0.531	GO:0090199
247	59	22	8e-05	0.00017	1.575e+03	0.542	0.424	GO:2000117
248	26	9	8e-05	0.00018	3.263e+02	0.505	0.458	GO:0001954
249	35	12	8e-05	0.00021	5.874e+02	0.474	0.476	GO:0007044
250	69	27	8e-05	0.00024	2.092e+03	0.573	0.461	GO:0034162
251	25	9	8e-05	0.00021	2.964e+02	0.547	0.377	GO:0042439
252	32	13	8e-05	0.00018	4.490e+02	0.553	0.591	GO:0008542
253	74	28	8e-05	0.00023	2.447e+03	0.543	0.467	GO:0002685
254	23	5	8e-05	0.00023	3.103e+02	0.42	0.576	GO:0060330
255	57	20	8e-05	0.00023	1.519e+03	0.535	0.503	GO:2001242
256	27	9	8e-05	0.00018	3.582e+02	0.504	0.488	GO:0003007
257	24	9	7e-05	0.00022	2.675e+02	0.529	0.479	GO:0006890
258	56	21	7e-05	0.00022	1.416e+03	0.524	0.438	GO:0009791
259	63	26	7e-05	0.00022	1.695e+03	0.551	0.473	GO:0048872
260	22	7	7e-05	0.00022	2.456e+02	0.498	0.412	GO:0051602
261	33	9	7e-05	0.00015	5.793e+02	0.469	0.433	GO:0055092
262	33	12	7e-05	0.00022	5.077e+02	0.558	0.342	GO:0060401
263	24	9	7e-05	0.00016	2.675e+02	0.551	0.574	GO:2001244
264	56	20	7e-05	0.0002	1.453e+03	0.533	0.651	GO:0001843
265	21	6	7e-05	0.0002	2.356e+02	0.52	0.325	GO:0006749
266	23	8	7e-05	0.0002	2.565e+02	0.531	0.515	GO:0033209
267	31	10	7e-05	0.00014	4.768e+02	0.467	0.552	GO:0045921
268	24	9	7e-05	0.0002	2.675e+02	0.493	0.581	GO:0051496
269	22	7	7e-05	0.0002	2.456e+02	0.523	0.622	GO:0051865
270	36	14	6e-05	0.00019	5.805e+02	0.537	0.545	GO:0003143
271	29	8	6e-05	0.00015	4.479e+02	0.475	0.601	GO:0030837
272	26	10	6e-05	0.00018	3.084e+02	0.579	0.555	GO:0035176
273	43	13	6e-05	0.00014	9.337e+02	0.516	0.521	GO:0001708
274	49	20	6e-05	0.0001	1.038e+03	0.55	0.458	GO:0007569
275	21	7	6e-05	0.00012	2.196e+02	0.511	0.541	GO:0051385
276	29	9	6e-05	0.00018	4.260e+02	0.488	0.476	GO:0007257
277	28	8	6e-05	0.00016	4.120e+02	0.431	0.595	GO:0043388
278	21	7	6e-05	0.00018	2.196e+02	0.443	0.76	GO:1902692
279	34	13	6e-05	0.00018	5.237e+02	0.536	0.521	GO:2001251
280	27	10	6e-05	0.00011	3.393e+02	0.562	0.436	GO:0000725
281	40	14	6e-05	0.00017	7.557e+02	0.517	0.519	GO:0001649
282	30	11	6e-05	0.00017	4.191e+02	0.528	0.414	GO:0022406
