Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
87	25	12	0.01777	0.03369	2.488e+02	0.018	0.394	GO:0030206
88	32	19	0.01748	0.02218	3.387e+02	0.022	0.532	GO:0006312
89	103	66	0.01746	0.05237	3.138e+03	0.136	0.427	GO:0002819
90	42	23	0.01722	0.02592	6.272e+02	0.079	0.385	GO:0006909
91	26	16	0.01684	0.02265	2.158e+02	0.033	0.522	GO:0000722
92	56	38	0.01683	0.0505	8.549e+02	0.205	0.411	GO:0002708
93	24	17	0.01598	0.03223	1.479e+02	0.166	0.561	GO:0050926
94	63	35	0.01547	0.02324	1.384e+03	0.057	0.438	GO:0043154
95	21	14	0.01541	0.02873	1.269e+02	0.173	0.484	GO:0015844
96	20	14	0.01451	0.01935	1.059e+02	0.154	0.497	GO:0002833
97	66	37	0.01424	0.02556	1.506e+03	0.062	0.436	GO:2000117
98	72	43	0.01419	0.03187	1.680e+03	0.097	0.49	GO:0050729
99	70	30	0.014	0.02511	2.045e+03	0.013	0.37	GO:1901607
100	29	15	0.01344	0.02331	3.157e+02	-0.048	0.516	GO:2000278
101	66	33	0.012	0.03195	1.647e+03	0.044	0.421	GO:0042060
102	37	20	0.01092	0.0213	4.934e+02	0.039	0.423	GO:0021987
103	23	11	0.01049	0.0128	2.118e+02	0.012	0.413	GO:0072525
104	29	14	0.01047	0.025	3.316e+02	0.005	0.404	GO:0006099
105	78	39	0.01028	0.02585	2.296e+03	0.02	0.453	GO:0043648
106	71	42	0.01	0.01287	1.651e+03	0.049	0.512	GO:0006606
107	21	14	0.00999	0.02401	1.269e+02	0.171	0.443	GO:0001662
108	31	15	0.00968	0.01178	3.776e+02	0.059	0.408	GO:0006730
109	57	30	0.00927	0.02291	1.187e+03	-0.04	0.528	GO:0060415
110	50	28	0.00916	0.01571	8.686e+02	0.06	0.465	GO:0008630
