         13664404 function calls (13518132 primitive calls) in 24.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/contextlib.py:117(__exit__)
        1    0.000    0.000    0.001    0.001 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:887(__init__)
        5    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/genericpath.py:16(exists)
        8    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/internals/managers.py:1848(internal_values)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:139(_ensure_array)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:7106(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/common.py:251(_get_filepath_or_buffer)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/frame.py:3411(_ixs)
       10    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:7082(maybe_extract_name)
       18    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:321(is_hashable)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexing.py:954(__getitem__)
       83    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_asarray.py:22(require)
        2    0.000    0.000    0.000    0.000 {built-in method now}
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/contextlib.py:238(helper)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1987(maybe_cast_to_integer_array)
        4    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:654(_simple_new)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/range.py:112(__new__)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:150(_isna)
        8    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1429(is_extension_array_dtype)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1116(take_nd)
        5    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1274(is_bool_dtype)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/warnings.py:181(_add_filter)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/numeric.py:289(full)
        8    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/flags.py:47(__init__)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2043(new_block)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/frame.py:3906(_box_col_values)
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/contextlib.py:108(__enter__)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexing.py:1456(_getitem_tuple)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3449(std)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:4435(_reduce)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:1098(take)
        9    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1148(needs_i8_conversion)
        2    0.000    0.000    0.012    0.006 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/util/_decorators.py:302(wrapper)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/warnings.py:458(__enter__)
