GO:0045109	DNAJB6 NEFL NEFL VIM GFAP DSP DES DES KRT9 KRT20 EPPK1 EPPK1 EPPK1 BFSP1 MTM1 BFSP2 PLEC SHH KRT71 KLHL24 KRT17 KRT80 KRT34 GFAP KRT7 KRT25 TCHH KRT71 KRT3 KRT23 KRT40 KRT36 KRT26 KRT27 KRT28 AGFG1 KRT33A KRT12 KRT9 KRT77 KRT2 KRT37 KRT35 KRT14 KRT5 KRT10 KRT72 KRT74 KRT39 KRT32 KRT73 KRT83 KRT6C KRT24 KRT75 KRT20 KRT31 KRT1 VIM KRT13 BFSP2 KRT86 KRT81 LOC100653049 KRT6A KRT78 KRT82 KRT33B KRT84 KRT19 INA KRT15 KRT4 KRT79 KRT85 KRT76 KRT38 KRT6B KRT16
GO:0070192	MEIOC ATRX DMC1 RAD50 RAD51
GO:0012501	HTRA2 TOP1 PKM PLCG2 RNF130 NINJ1 CARD8 HTRA4 HTRA2 HTRA1
GO:0051926	ADRA2A CD33 PLN NOS3 NOS1 PTGS2 STC1 CAV3 LILRB2 LILRB1 INPP5K PACSIN3
GO:2000809	CDH2 NLGN2
GO:0038196	IFNL4 JAK1 TYK2 IL10RB IFNL1 IFNLR1 IFNL3 IFNL2
GO:0046395	PON1 PON3
GO:0010845	UBE2B RAD51AP1 PRDM9 PRDM9 PRDM7
GO:0006811	SLC22A23 SLC22A20P SLC22A31 SLC1A7 SLC26A4 SLC24A1 CTNS TRPA1 TOMM40 CHRNB2 GABRB1 SLC9A1 GLRA1 CHRNB4 CHRNA3 SLC8A1 CHRNA7 SLC26A3 SLC1A3 SLC1A2 SLC1A1 CHRNA4 SLC15A1 P2RY1 GLRB SLC1A6 SLC9A3 P2RX1 SLC12A2 SLC12A3 CLDN15 SLC8A3 FXYD7 FXYD6P3 CLDN10 PLP2 SLC20A2 SLC12A1 ATP1A4 LASP1 SLC17A1 SLC9A5 MLC1 CHRNA2 SLC15A2 FXN SLC5A12 HFE SLC36A2 SLC9A4 SLC8B1 SLC25A26 SLC24A5 SLC26A9 SLC36A1 PDZD3 SLC26A11 SLC9A9 SLC15A3 SLC22A15 SLC5A8 SLC15A4 AQP11 SLC17A8 CNNM3 SLC24A4 LHFPL5 SLC26A7 SLC20A1 SLC9A6 SLC5A5 TOMM40L FXYD5 WNK4 SLC9A7 SLC26A6 FXYD6 SLC25A18 P2RY12 SLC12A5 SLC12A5 WNK1 SLC32A1 SLC25A22 SLC24A3 SLC17A5 CNNM1 SLC17A7 SLC17A6 SLC25A10 SLC9A2 STEAP1 SLC12A6 SLC12A6 SLC24A2 SLC12A4 SLC8A2 SLC9A8 ATP11B PLLP SLC12A7
GO:0001514	SARS1 SELENOT DIO2 SEPSECS TRNAU1AP C6orf52 SECISBP2L TRNAU1AP EEFSEC SECISBP2 SEPSECS
GO:0034389	FITM1 DDHD2 PPIA PLIN5 PPID RAB3GAP1 TSPO2 SPART FITM2 FITM2 CIDEC TBC1D20 FAF2 BSCL2 RAB18 PNPLA3 PTGFRN AUP1 BSCL2 RAB18 FITM1 FITM2
GO:1904340	FOXA1 FGF20
GO:0048368	BMPR1A YAP1 TEAD2 MESP1
GO:1902070	KLF14
GO:0042559	GCH1 GCH1 GCH1
GO:0008315	NDC80 CCNB2
GO:0043407	RGS14 AGT IL1B APOE HMGCR GBA1 LYN GSTP1 UCHL1 BMP2 BMP4 SMPD1 PTPN1 BMP7 NF1 DUSP1 PTPN6 NUP62 PPARG RGS2 PIK3CB CAV3 CAV1 PRKCD HYAL2 PTPRJ STK38 ADIPOQ DUSP7 DEFB114 DAB2IP DAB2IP PAQR3 LAX1 SORL1 CDK5RAP3 INPP5K CD300A CBLC SH2B3 IRAK3 SPRY3 SPRY2 SPRY1 PTPRJ IRAK3 SPRY4
GO:2000369	SNAP91 DNAJC6 HIP1R PIK3CB TNK2 AAK1 AAK1 USH1G PROM2 BMP2K SMAP1
GO:0043616	OVOL1 IRF6 EREG FGF10 KLK8 FST SFN KRT2 ZEB1 EFNB2 CDH13 PPARD PTCH1 IL17A CD109 SDR16C5 KDF1 IFT74 FERMT1 NFKBIZ TP63 IFT57 IFT80 WNT16 IFT172 IFT52
GO:0003241	NOTCH1 MESP1
GO:1901858	MPV17 STOX1
GO:0071680	CYP1B1
GO:0043114	YES1 BCR SRC NPR1 NPPB AZU1 BDKRB2 CDH5 HRH1 GPR4 TEK TEK PLEC PLVAP
GO:0006139	TK2 SLC28A1 SLC28A2 PRPSAP2 BPNT1 PNP TK1 PRPS2 CTPS1 OAS2 ATIC DUT NUDT2 TPMT ERH FPGS MTAP ATR CRMP1 PRPSAP1 DPYSL2 UPP1 SRBD1 ATRIP SLC29A1 POLR1H GDA REXO2 POLR3H OAS3
GO:2000287	DMRT2
GO:0090150	NPC1 BRAF BID RAB10 RAB11A RAB11B FRMPD1 SYNE3 COLQ
GO:0062029	G3BP1 G3BP2
GO:1904179	PPARG NCOA2 NCOA1 TRPM4 SORL1 SIRT1 NR1H4 GHRL
GO:0006650	PGP PLA2G15 PIP5K1A PNPLA3
GO:0033342	GTPBP4
GO:0000256	ALLC
GO:0140484	TSPO2
GO:1900175	SHH
GO:0090341	NR1H3
GO:2000588	HIP1 HIP1R SRC
GO:1902380	HSPA1A
GO:0000025	MGAM MGAM MGAM
GO:0051091	TRAF5 TRIM38 WNT10B PLPP3 DVL2 TNFSF11 MBTPS2 KDM1A JAK2 LRP5 LRP6 TRIM37 ZIC2 RIGI TNF IL1B ESR1 ESR1 WNT1 APP IL5 IL6 IL6 EDN1 WNT2 CSF3 KIT SRF SRF ANXA3 BMP2 HCLS1 TRIM27 JUP ATF2 FOSL1 TCF3 PLCG2 PLCG2 PLCG2 PLCG2 PLCG2 PLCG2 PLCG2 TRIM21 IL10 AKT1 CTNNB1 DDIT3 DDIT3 DDIT3 PPARG SMARCA4 SMARCA4 CEBPG FOXA1 HDAC4 WNT3A PTEN NKX6-1 SMAD3 NDP HSF1 NHLH2 PPP3CA EP300 EP300 ARHGEF5 SMARCB1 TP53BP1 TRIM26 TRAF2 TRIM32 STK3 NEUROD1 TRIM14 IKBKE TFDP1 TRIM25 FZD2 ARID5B PPP2R5B NEUROD2 TAF12 DDR2 RNF220 MAVS MAVS STING1 TRIM22 MYOCD ABRA JMY NFAM1 FANK1 ESR2 NEUROG1 COPS5 NODAL PARK7 PARK7 PHB2 NKX3-1 TRIM62 PINK1 CLEC7A CLEC7A CLEC7A TRIM34 PRKD2 TRIM8 TRIM31 TRIM15 TRIM5 NEUROG2 HIPK2 SAV1 RGCC BEX1 ZC4H2 CYTL1 PPARGC1A MID2 FZD4 PYCARD FZD1 FZD1 HDAC5 TRAF6 TNFRSF11A TNFRSF11A PPARGC1B LRP6 TRIM26 FANK1 JMY PPARGC1A PPRC1 TRIM31 MBTPS2 ABRA
GO:0002576	ABCC4 LYN PLEK TPH1 STXBP1 LYN
GO:0030205	DSE DSEL
GO:0051262	TP73 NUDT21 HLA-DRB1 TP53 MS4A1 MS4A1 SHMT2 SNCA KCNC1 STK4 STK3 PKD2 KCNC3 OXA1L OXA1L CPSF6 TRPM1 HOMER1 CPSF7 TRPM7 TRPM6 TP63 FKRP TRPM3 CUTC
GO:0060460	NODAL
GO:2000275	PM20D1
GO:0007079	CENPE KPNB1 DLGAP5 KATNB1
GO:0032732	TLR4 IGHD ORM1 HMGB1 SAA1 ORM2 TMED10 HAVCR2 HDAC2 PANX3 PANX2
GO:0014057	TACR2 ADORA2A SLC18A3
GO:0035768	CXCL13
GO:0035338	ELOVL7 HACD1 ACSL4 ACSL3 ACSL1 ACSF3 HSD17B12 ACSBG2 HACD2 ACSBG1 ELOVL1 ELOVL4 ELOVL6 ELOVL3 ELOVL2 ELOVL5 TECR ACSL6 ACSL5 ACSL5 ACSL6 ACSL1
GO:1902969	MCM6
GO:0001694	HDC HDC PRG3 HDC
